LoanAmount,City,State,Zip,NAICSCode,BusinessType,RaceEthnicity,Gender,Veteran,NonProfit,JobsReported,DateApproved,Lender,CD
25300,CRANSTON,RI,02920,238320,Corporation,Unanswered,Unanswered,Unanswered,,,05/07/2020,"Citizens Bank, National Association",RI-02
25300,Cranston,RI,02921,722511,Corporation,Unanswered,Unanswered,Unanswered,,,04/29/2020,"Citizens Bank, National Association",RI-02
25300,WESTERLY,RI,02891,812112,Corporation,White,Female Owned,Non-Veteran,,6,04/04/2020,Westerly Community CU,RI-02
25300,CRANSTON,RI,02910,812990,Corporation,Unanswered,Unanswered,Unanswered,,2,04/14/2020,BankNewport,RI-02
25300,PORTSMOUTH,RI,02871,561730,Corporation,Unanswered,Unanswered,Unanswered,,9,04/28/2020,Peoples CU,RI-01
25300,North Kingstown,RI,02852,512110,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,,04/15/2020,"Citizens Bank, National Association",RI-02
25300,Providence,RI,02906,813319,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,,05/02/2020,"Citizens Bank, National Association",RI-01
25279,Warwick,RI,02889,722513,Corporation,Unanswered,Unanswered,Unanswered,,8,06/22/2020,Cross River Bank,RI-02
25255,Warwick,RI,02886,722511,Partnership,Unanswered,Unanswered,Unanswered,,0,04/15/2020,"TD Bank, National Association",RI-02
25235,WARWICK,RI,02886,711110,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,7,04/27/2020,"Webster Bank, National Association",RI-02
25217,PROVIDENCE,RI,02908,447190,Corporation,Unanswered,Male Owned,Unanswered,,5,04/28/2020,Pawtucket CU,RI-01
25200,EXETER,RI,02822,111421,Corporation,Unanswered,Unanswered,Unanswered,,5,04/11/2020,Bank Rhode Island,RI-02
25200,Coventry,RI,02816,541519,Corporation,Unanswered,Male Owned,Non-Veteran,,,04/16/2020,"Citizens Bank, National Association",RI-02
25200,WAKEFIELD,RI,02879,442110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,3,04/16/2020,Bank Rhode Island,RI-02
25200,WARWICK,RI,02888,541211,Subchapter S Corporation,White,Female Owned,Non-Veteran,,3,04/03/2020,Navigant CU,RI-02
25200,NEWPORT,RI,02840,445120,Corporation,Unanswered,Male Owned,Non-Veteran,,3,04/05/2020,Bank Rhode Island,RI-01
25200,WARWICK,RI,02886,238910,Corporation,Unanswered,Unanswered,Unanswered,,3,04/30/2020,"Bank of America, National Association",RI-02
25200,NORTH KINGSTOWN,RI,02852,541921,Corporation,Unanswered,Unanswered,Unanswered,,2,04/09/2020,BankNewport,RI-02
25200,NORTH PROVIDENCE,RI,02904,541890,Corporation,Unanswered,Male Owned,Non-Veteran,,0,05/03/2020,"Citizens Bank, National Association",RI-01
25185,WEST KINGSTON,RI,02892,327110,Corporation,Unanswered,Male Owned,Unanswered,,5,06/24/2020,The Washington Trust Company of Westerly,RI-02
25158,PORTSMOUTH,RI,02871,611699,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,3,05/01/2020,"Bank of America, National Association",RI-01
25155,PAWTUCKET,RI,02861,561510,Corporation,Unanswered,Male Owned,Unanswered,,5,04/28/2020,Pawtucket CU,RI-01
25149,PROVIDENCE,RI,02909,236116,Corporation,Unanswered,Unanswered,Unanswered,,5,04/28/2020,"Webster Bank, National Association",RI-02
25130,PROVIDENCE,RI,02903,523930,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,3,04/28/2020,"Webster Bank, National Association",RI-01
25121,WARWICK,RI,02818,531390,Corporation,White,Male Owned,Non-Veteran,,3,04/16/2020,Pawtucket CU,RI-02
25117,NEWPORT,RI,02840,813110,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,3,04/07/2020,BankNewport,RI-01
25116,NORTH SMITHFIELD,RI,02896,541350,Corporation,Unanswered,Female Owned,Non-Veteran,,3,05/01/2020,Customers Bank,RI-01
25112,NEWPORT,RI,02840,541990,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,2,05/03/2020,"Bank of America, National Association",RI-01
25100,JOHNSTON,RI,02919,541990,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,0,04/10/2020,BankNewport,RI-02
25100,Cumberlan,RI,02864,423320,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,,04/16/2020,"Citizens Bank, National Association",RI-01
25100,Providence,RI,02906,813110,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,,04/16/2020,"Citizens Bank, National Association",RI-01
25100,Coventry,RI,02816,811198,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,,04/16/2020,"Citizens Bank, National Association",RI-02
25100,JOHNSTON,RI,02919,423110,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,,04/16/2020,"Citizens Bank, National Association",RI-02
25100,Saunderstown,RI,02874,812910,Corporation,Unanswered,Female Owned,Non-Veteran,,5,04/29/2020,HarborOne Bank,RI-02
25100,BARRINGTON,RI,02806,621340,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,1,04/07/2020,Bank Rhode Island,RI-01
25100,SMITHFIELD,RI,02828,451110,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,,04/15/2020,"Citizens Bank, National Association",RI-01
25100,WARWICK,RI,02886,425110,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,,04/15/2020,"Citizens Bank, National Association",RI-02
25096,CRANSTON,RI,02920,339999,Corporation,Unanswered,Unanswered,Unanswered,,4,04/15/2020,"Bank of America, National Association",RI-02
25075,WARREN,RI,02885,531210,Corporation,White,Male Owned,Unanswered,,5,04/14/2020,The Washington Trust Company of Westerly,RI-01
25062,WESTERLY,RI,02891,721191,Limited  Liability Company(LLC),Unanswered,Male Owned,Unanswered,,8,05/11/2020,The Washington Trust Company of Westerly,RI-02
25055,CRANSTON,RI,02921,,Corporation,Unanswered,Unanswered,Unanswered,,9,05/03/2020,"Bank of America, National Association",RI-02
25045,PROVIDENCE,RI,02906,561510,Corporation,Unanswered,Unanswered,Unanswered,,3,04/09/2020,Bank Rhode Island,RI-01
25024,Providence,RI,02904,811192,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,7,04/30/2020,"Santander Bank, National Association",RI-01
25018.92,NORTH KINGSTOWN,RI,02852,236115,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,2,04/15/2020,"Webster Bank, National Association",RI-02
25000,Warren,RI,02885,327110,Corporation,Asian,Unanswered,Unanswered,,4,04/15/2020,CDC Small Business Finance Corporation,RI-01
25000,Johnston,RI,02919,812112,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,2,05/04/2020,Celtic Bank Corporation,RI-02
25000,PORTSMOUTH,RI,02871,238220,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,2,04/10/2020,BankNewport,RI-01
25000,PROVIDENCE,RI,02904,722511,Corporation,Unanswered,Unanswered,Unanswered,,,04/29/2020,"Citizens Bank, National Association",RI-01
25000,WARWICK,RI,02889,238210,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,3,04/29/2020,"Webster Bank, National Association",RI-02
25000,Cranston,RI,02920,484220,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,0,05/06/2020,"TD Bank, National Association",RI-02
25000,Chepachet,RI,02814,722511,Corporation,Unanswered,Unanswered,Unanswered,,,04/16/2020,"Citizens Bank, National Association",RI-02
25000,NORTH PROVIDENCE,RI,02904,541613,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,1,04/29/2020,Navigant CU,RI-01
25000,CRANSTON,RI,02910,541110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,1,04/29/2020,HarborOne Bank,RI-02
25000,East Greenwich,RI,02818,423840,Corporation,Unanswered,Unanswered,Unanswered,,2,04/29/2020,"Santander Bank, National Association",RI-02
25000,BRISTOL,RI,02809,425120,Corporation,Unanswered,Male Owned,Non-Veteran,,1,05/08/2020,"Bank of America, National Association",RI-01
25000,PAWTUCKET,RI,02860,561730,Subchapter S Corporation,Unanswered,Male Owned,Non-Veteran,,4,04/27/2020,Avidia Bank,RI-01
25000,Cumberland,RI,02864,621320,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,2,06/25/2020,"Santander Bank, National Association",RI-01
25000,JOHNSTON,RI,02919,444220,Corporation,Unanswered,Unanswered,Unanswered,,4,04/29/2020,BankNewport,RI-02
25000,WOONSOCKET,RI,02895,,Corporation,Unanswered,Unanswered,Unanswered,,0,05/03/2020,"TD Bank, National Association",RI-01
25000,NEWPORT,RI,02840,445310,Sole Proprietorship,White,Female Owned,Non-Veteran,,5,04/13/2020,BankNewport,RI-01
25000,EAST GREENWICH,RI,02818,541613,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,,05/08/2020,"Citizens Bank, National Association",RI-02
25000,HARRISVILLE,RI,02830,238220,Subchapter S Corporation,White,Male Owned,Non-Veteran,,4,04/04/2020,Navigant CU,RI-01
25000,RIVERSIDE,RI,02915,238130,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,1,04/30/2020,"Webster Bank, National Association",RI-01
25000,West Greenwich,RI,02817,621111,Subchapter S Corporation,Unanswered,Male Owned,Unanswered,,,04/27/2020,"Citizens Bank, National Association",RI-02
25000,PAWTUCKET,RI,02860,236118,Limited  Liability Company(LLC),Hispanic,Male Owned,Non-Veteran,,3,04/13/2020,Navigant CU,RI-01
25000,PROVIDENCE,RI,02908,238320,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,,04/30/2020,"Citizens Bank, National Association",RI-01
25000,PROVIDENCE,RI,02906,611699,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,3,04/13/2020,Bank Rhode Island,RI-01
25000,WARWICK,RI,02889,812112,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,10,04/05/2020,Hometown Bank,RI-02
25000,NORTH PROVIDENCE,RI,02904,332410,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,1,05/12/2020,"Bank of America, National Association",RI-01
25000,SMITHFIELD,RI,02917,812310,Sole Proprietorship,Asian,Female Owned,Non-Veteran,,3,04/05/2020,"Leader Bank, National Association",RI-01
25000,providence,RI,02909,453110,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,2,06/27/2020,MBE Capital Partners,RI-02
25000,NARRAGANSETT,RI,02882,531311,Limited  Liability Company(LLC),Unanswered,Male Owned,Veteran,,5,04/05/2020,BankNewport,RI-02
25000,COVENTRY,RI,02816,722511,Corporation,Unanswered,Unanswered,Unanswered,,6,04/13/2020,Centreville Bank,RI-02
25000,NEWPORT,RI,02840,531320,Corporation,Unanswered,Unanswered,Unanswered,,6,04/05/2020,BankNewport,RI-01
25000,NORTH KINGSTOWN,RI,02852,114119,Corporation,White,Male Owned,Non-Veteran,,5,04/05/2020,BankNewport,RI-02
25000,PROVIDENCE,RI,02908,999990,Corporation,Unanswered,Unanswered,Unanswered,,1,04/05/2020,BankNewport,RI-01
25000,NEWPORT,RI,02840,441222,Corporation,Unanswered,Unanswered,Unanswered,,1,04/06/2020,BankNewport,RI-01
25000,providence,RI,02904,531390,Limited  Liability Company(LLC),Unanswered,Male Owned,Unanswered,,,04/30/2020,"Citizens Bank, National Association",RI-01
25000,EAST PROVIDENCE,RI,02914,236118,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,1,04/30/2020,"Santander Bank, National Association",RI-01
25000,Johnston,RI,02919,236115,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,8,04/30/2020,"Santander Bank, National Association",RI-02
25000,EAST GREENWICH,RI,02818,531210,Sole Proprietorship,Unanswered,Male Owned,Non-Veteran,,1,04/14/2020,"Webster Bank, National Association",RI-02
25000,CRANSTON,RI,02920,812112,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,,04/28/2020,"Citizens Bank, National Association",RI-02
25000,CRANSTON,RI,02920,541611,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,1,05/03/2020,"Bank of America, National Association",RI-02
25000,WOONSOCKET,RI,02895,238150,Corporation,Unanswered,Male Owned,Unanswered,,3,04/07/2020,Bank Rhode Island,RI-01
25000,WEST WARWICK,RI,02893,531210,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,1,04/07/2020,Pawtucket CU,RI-02
25000,LINCOLN,RI,02865,238220,Corporation,Unanswered,Unanswered,Unanswered,,2,04/07/2020,Pawtucket CU,RI-01
25000,BARRINGTON,RI,02806,813990,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,8,04/07/2020,BankNewport,RI-01
25000,PROVIDENCE,RI,02903,541110,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,1,04/14/2020,Navigant CU,RI-01
25000,WEST WARWICK,RI,02893,722513,Corporation,Unanswered,Male Owned,Non-Veteran,,3,04/30/2020,Centreville Bank,RI-02
25000,Providence,RI,02908,484110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,1,04/30/2020,"Santander Bank, National Association",RI-01
25000,Pawtucket,RI,02861,561730,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,,04/28/2020,"Citizens Bank, National Association",RI-01
25000,NARRAGANSETT,RI,02882,541820,Limited  Liability Company(LLC),White,Male Owned,Unanswered,,1,04/08/2020,The Washington Trust Company of Westerly,RI-02
25000,BRISTOL,RI,02809,811111,Corporation,Unanswered,Unanswered,Unanswered,,4,04/28/2020,BankNewport,RI-01
25000,Warwick,RI,02886,722513,Corporation,Unanswered,Unanswered,Unanswered,,,04/15/2020,"Citizens Bank, National Association",RI-02
25000,Johnston,RI,02919,541110,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,,04/15/2020,"Citizens Bank, National Association",RI-02
25000,South Kingstown,RI,02879,711120,Limited  Liability Company(LLC),Unanswered,Female Owned,Non-Veteran,,,04/15/2020,"Citizens Bank, National Association",RI-02
25000,cranston,RI,02920,812112,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,,04/15/2020,"Citizens Bank, National Association",RI-02
25000,WOONSOCKET,RI,02895,488410,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,,04/15/2020,"Citizens Bank, National Association",RI-01
25000,Providence,RI,02906,541199,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,,04/15/2020,"Citizens Bank, National Association",RI-01
25000,WAKEFIELD,RI,02879,722515,Limited  Liability Company(LLC),White,Male Owned,Unanswered,,12,04/15/2020,The Washington Trust Company of Westerly,RI-02
25000,WARWICK,RI,02886,522310,Limited  Liability Company(LLC),Unanswered,Male Owned,Unanswered,,3,04/15/2020,The Washington Trust Company of Westerly,RI-02
25000,WESTERLY,RI,02891,722515,Limited  Liability Company(LLC),White,Male Owned,Unanswered,,8,04/15/2020,The Washington Trust Company of Westerly,RI-02
25000,BARRINGTON,RI,02806,531210,Corporation,Unanswered,Unanswered,Unanswered,,1,05/01/2020,BankNewport,RI-01
25000,Newport,RI,02840,531210,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,,05/01/2020,"Citizens Bank, National Association",RI-01
25000,Portsmouth,RI,02871,611710,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,,05/19/2020,"Citizens Bank, National Association",RI-01
25000,Cumberland,RI,02864,611699,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,,05/03/2020,"Citizens Bank, National Association",RI-01
25000,Woonsocket,RI,02895,561990,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,0,05/03/2020,"Citizens Bank, National Association",RI-01
25000,WAKEFIELD,RI,02880,531110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,3,04/15/2020,BankNewport,RI-02
25000,Cranston,RI,02920,812112,Limited  Liability Company(LLC),Unanswered,Female Owned,Non-Veteran,,0,05/03/2020,"Citizens Bank, National Association",RI-02
25000,PROVIDENCE,RI,02903,481219,Self-Employed Individuals,Unanswered,Unanswered,Unanswered,,6,04/28/2020,"Webster Bank, National Association",RI-01
25000,Johnston,RI,02919,561740,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,,05/02/2020,"Citizens Bank, National Association",RI-02
25000,NARRAGANSETT,RI,02882,531210,Self-Employed Individuals,Unanswered,Unanswered,Unanswered,,1,04/15/2020,BankNewport,RI-02
25000,MIDDLETOWN,RI,02842,814110,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,1,04/28/2020,Berkshire Bank,RI-01
24984,TIVERTON,RI,02878,811192,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,11,04/28/2020,BayCoast Bank,RI-01
24978,PASCOAG,RI,02859,621399,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,1,04/10/2020,Navigant CU,RI-02
24967,PROVIDENCE,RI,02909,423220,Corporation,Unanswered,Male Owned,Unanswered,,0,05/23/2020,Ponce Bank,RI-02
24912,PROVIDENCE,RI,02906,541199,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,,1,05/07/2020,Eastern Bank,RI-01
24912,TIVERTON,RI,02878,541990,Corporation,Unanswered,Unanswered,Unanswered,,1,05/03/2020,"Bank of America, National Association",RI-01
24900,newport,RI,02840,532292,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,,04/28/2020,"Citizens Bank, National Association",RI-01
24900,Pawtucket,RI,02860,813110,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,,04/15/2020,"Citizens Bank, National Association",RI-01
24900,CRANSTON,RI,02921,812220,Limited  Liability Company(LLC),White,Male Owned,Non-Veteran,,8,05/05/2020,Bristol County Savings Bank,RI-02
24900,Johnston,RI,02919,453998,Subchapter S Corporation,Unanswered,Female Owned,Non-Veteran,,,04/16/2020,"Citizens Bank, National Association",RI-02
24900,LINCOLN,RI,02865,531110,Limited  Liability Company(LLC),Unanswered,Male Owned,Unanswered,,2,04/05/2020,Bank Rhode Island,RI-01
24900,North Kingstown,RI,02852,541211,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,,04/15/2020,"Citizens Bank, National Association",RI-02
24900,East Providence`,RI,02914,813910,Corporation,Unanswered,Unanswered,Unanswered,,,04/15/2020,"Citizens Bank, National Association",RI-01
24900,CHARLESTOWN,RI,02813,541211,Corporation,Unanswered,Unanswered,Unanswered,,3,04/09/2020,Navigant CU,RI-02
24900,PROVIDENCE,RI,02903,445299,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,0,05/03/2020,"Citizens Bank, National Association",RI-01
24900,COVENTRY,RI,02816,561730,Limited  Liability Company(LLC),White,Male Owned,Non-Veteran,,4,04/09/2020,Navigant CU,RI-02
24892,Lincoln,RI,02865,238210,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,5,05/06/2020,Navigant CU,RI-01
24862,CRANSTON,RI,02920,541219,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,0,04/15/2020,Navigant CU,RI-02
24837,WESTERLY,RI,02891,561730,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,8,04/28/2020,The Washington Trust Company of Westerly,RI-02
24832,WAKEFIELD,RI,02879,541320,Subchapter S Corporation,Unanswered,Male Owned,Unanswered,,5,05/07/2020,The Washington Trust Company of Westerly,RI-02
24810,NORTH KINGSTOWN,RI,02852,448310,Corporation,White,Male Owned,Non-Veteran,,3,04/08/2020,The Washington Trust Company of Westerly,RI-02
24800,Cumberland,RI,02864,484220,Sole Proprietorship,Black or African American,Male Owned,Non-Veteran,,5,05/04/2020,"CRF Small Business Loan Company, LLC",RI-01
24800,Smithfield,RI,02917,114119,Subchapter S Corporation,White,Female Owned,Non-Veteran,,2,04/27/2020,"CRF Small Business Loan Company, LLC",RI-01
24799,KINGSTON,RI,02881,621320,Corporation,Unanswered,Male Owned,Non-Veteran,,3,06/11/2020,"Webster Bank, National Association",RI-02
24790,WARWICK,RI,02886,541110,Self-Employed Individuals,Unanswered,Unanswered,Unanswered,,1,04/27/2020,Navigant CU,RI-02
24790,PROVIDENCE,RI,02903,713940,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,5,04/30/2020,"Bank of America, National Association",RI-01
24757.34,NORTH PROVIDENCE,RI,02904,541320,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,,07/29/2020,"FC Marketplace, LLC (dba Funding Circle)",RI-01
24743,WARWICK,RI,02886,621112,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,4,05/05/2020,"Bank of America, National Association",RI-02
24735,Barrington,RI,02806,453998,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,4,05/27/2020,Cross River Bank,RI-01
24730,WAKEFIELD,RI,02879,621111,Professional Association,Unanswered,Unanswered,Unanswered,,3,04/30/2020,"Bank of America, National Association",RI-02
24725,PAWTUCKET,RI,02860,236115,Self-Employed Individuals,Unanswered,Unanswered,Unanswered,,2,04/27/2020,"Webster Bank, National Association",RI-01
24722,NORTH PROVIDENCE,RI,02904,621330,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,5,04/28/2020,"Webster Bank, National Association",RI-01
24700,WARWICK,RI,02886,531110,Corporation,Unanswered,Male Owned,Unanswered,,8,05/04/2020,Bank Rhode Island,RI-02
24700,WAKEFIELD,RI,02879,443142,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,4,04/11/2020,Berkshire Bank,RI-02
24700,CRANSTON,RI,02920,541211,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,3,04/04/2020,HarborOne Bank,RI-02
24700,EXETER,RI,02822,524210,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,2,04/07/2020,Bank Rhode Island,RI-02
24700,Hope,RI,02831,237110,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,,04/28/2020,"Citizens Bank, National Association",RI-02
24700,NEWPORT,RI,02840,238990,Corporation,Unanswered,Unanswered,Unanswered,,3,04/28/2020,Peoples CU,RI-01
24697,PROVIDENCE,RI,02908,722513,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,9,05/03/2020,"Bank of America, National Association",RI-01
24685.27,EAST PROVIDENCE,RI,02914,323111,Corporation,Unanswered,Male Owned,Veteran,,3,04/27/2020,"Home Loan Investment Bank, F.S.B.",RI-01
24682,PAWTUCKET,RI,02860,453310,Corporation,Unanswered,Unanswered,Unanswered,,3,04/15/2020,Bristol County Savings Bank,RI-01
24663,PORTSMOUTH,RI,02871,311813,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,6,05/07/2020,"Bank of America, National Association",RI-01
24635,LINCOLN,RI,02865,445120,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,8,04/29/2020,Navigant CU,RI-01
24635,PROVIDENCE,RI,02904,621310,Corporation,Unanswered,Unanswered,Unanswered,,4,05/03/2020,"Bank of America, National Association",RI-01
24625,PROVIDENCE,RI,02908,541110,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,2,04/28/2020,Pawtucket CU,RI-01
24624,WARWICK,RI,02886,812199,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,4,06/16/2020,"Bank of America, National Association",RI-02
24600,PORTSMOUTH,RI,02871,531110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,3,04/13/2020,BankNewport,RI-01
24600,PORTSMOUTH,RI,02871,441110,Corporation,Unanswered,Unanswered,Unanswered,,,04/14/2020,Peoples CU,RI-01
24600,Providence,RI,02909,811121,Corporation,Unanswered,Unanswered,Unanswered,,,04/15/2020,"Citizens Bank, National Association",RI-02
24600,TIVERTON,RI,02878,541690,Corporation,Unanswered,Unanswered,Unanswered,,1,04/15/2020,BankNewport,RI-01
24600,Providence,RI,02903,541110,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,0,05/03/2020,"Citizens Bank, National Association",RI-01
24600,WARWICK,RI,02886,811121,Corporation,Unanswered,Unanswered,Unanswered,,10,05/02/2020,First Home Bank,RI-02
24589,PROVIDENCE,RI,02909,813110,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,4,05/03/2020,"Bank of America, National Association",RI-02
24583.25,West Warwick,RI,02893,524210,Sole Proprietorship,Unanswered,Male Owned,Non-Veteran,,1,04/14/2020,Rockland Trust Company,RI-02
24573,Cranston,RI,02910,238220,Corporation,Unanswered,Unanswered,Unanswered,,0,05/26/2020,"TD Bank, National Association",RI-02
24571,NORTH KINGSTOWN,RI,02852,713940,Corporation,Unanswered,Unanswered,Unanswered,,3,04/08/2020,Pawtucket CU,RI-02
24553,E PROVIDENCE,RI,02914,332710,Corporation,Unanswered,Unanswered,Unanswered,,4,05/04/2020,"Bank of America, National Association",RI-01
24514,PROVIDENCE,RI,02907,722511,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,4,05/14/2020,"Bank of America, National Association",RI-02
24503.72,Westerly,RI,02891,621112,Sole Proprietorship,White,Female Owned,Non-Veteran,,1,04/28/2020,Liberty Bank,RI-02
24500,WOONSOCKET,RI,02895,722511,Corporation,Unanswered,Unanswered,Unanswered,,5,06/22/2020,"Santander Bank, National Association",RI-01
24500,Johnston,RI,02919,622110,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,,05/04/2020,"Citizens Bank, National Association",RI-02
24500,SMITHFIELD,RI,02917,621999,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,1,04/29/2020,"Webster Bank, National Association",RI-01
24500,WAKEFIELD,RI,02879,453998,Corporation,Unanswered,Male Owned,Non-Veteran,,6,05/03/2020,"Bank of America, National Association",RI-02
24500,PROVIDENCE,RI,02909,236118,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,,0,05/18/2020,"TD Bank, National Association",RI-02
24500,cranston,RI,02910,524210,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,,04/15/2020,"Citizens Bank, National Association",RI-02
24500,Cranston,RI,02920,541199,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,,04/15/2020,"Citizens Bank, National Association",RI-02
24500,north smithfield,RI,02896,561720,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,0,05/03/2020,"Citizens Bank, National Association",RI-01
24500,Bristol,RI,02809,236115,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,,05/01/2020,"Citizens Bank, National Association",RI-01
24487,NORTH KINGSTOWN,RI,02852,236118,Corporation,White,Male Owned,Unanswered,,3,04/29/2020,The Washington Trust Company of Westerly,RI-02
24481,Barrington,RI,02806,621310,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,2,04/28/2020,BayCoast Bank,RI-01
24420,WARWICK,RI,02886,611620,Corporation,Unanswered,Unanswered,Unanswered,,2,05/01/2020,"Bank of America, National Association",RI-02
24400,Warwick,RI,02886,325211,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,,04/16/2020,"Citizens Bank, National Association",RI-02
24400,greene,RI,02827,236118,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,,04/16/2020,"Citizens Bank, National Association",RI-02
24400,WARWICK,RI,02886,236220,Corporation,White,Male Owned,Veteran,,0,04/27/2020,Bank Rhode Island,RI-02
24400,NORTH KINGSTOWN,RI,02852,424950,Corporation,Unanswered,Male Owned,Unanswered,,8,04/05/2020,Bank Rhode Island,RI-02
24400,PROVIDENCE,RI,02906,722511,Corporation,Asian,Female Owned,Non-Veteran,,2,04/30/2020,Umpqua Bank,RI-01
24400,WOONSOCKET,RI,02895,448120,Corporation,Unanswered,Unanswered,Unanswered,,7,06/29/2020,"Leader Bank, National Association",RI-01
24400,Providence,RI,02903,541110,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,,04/30/2020,"Citizens Bank, National Association",RI-01
24400,Warwick,RI,02889,813110,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,,04/30/2020,"Citizens Bank, National Association",RI-02
