"GEO_ID","NAME","B03002_001E","B03002_001M","B03002_002E","B03002_002M","B03002_003E","B03002_003M","B03002_004E","B03002_004M","B03002_005E","B03002_005M","B03002_006E","B03002_006M","B03002_007E","B03002_007M","B03002_008E","B03002_008M","B03002_009E","B03002_009M","B03002_010E","B03002_010M","B03002_011E","B03002_011M","B03002_012E","B03002_012M","B03002_013E","B03002_013M","B03002_014E","B03002_014M","B03002_015E","B03002_015M","B03002_016E","B03002_016M","B03002_017E","B03002_017M","B03002_018E","B03002_018M","B03002_019E","B03002_019M","B03002_020E","B03002_020M","B03002_021E","B03002_021M"
"0500000US48115","Dawson County, Texas","13095","*****","5705","*****","4752","17","740","41","52","29","112","21","3","6","0","21","46","27","18","19","28","23","7390","*****","5487","386","45","38","191","170","0","21","0","21","1397","294","270","203","253","201","17","22"
"0500000US48151","Fisher County, Texas","3875","*****","2719","142","2575","151","111","60","0","13","19","28","4","6","0","13","10","12","0","13","10","12","1156","142","952","141","0","13","27","25","0","13","0","13","115","51","62","30","16","16","46","25"
"0500000US48131","Duval County, Texas","11434","*****","1223","*****","1025","100","165","87","0","21","32","44","0","21","1","2","0","21","0","21","0","21","10211","*****","8816","533","0","21","31","32","0","21","0","21","1335","538","29","23","24","21","5","7"
"0500000US48051","Burleson County, Texas","17596","*****","14059","*****","11561","21","2169","110","31","30","59","63","0","21","0","21","239","93","0","21","239","93","3537","*****","2352","394","28","36","0","21","0","21","0","21","1012","377","145","117","145","117","0","21"
"0500000US48031","Blanco County, Texas","11089","*****","8970","*****","8601","13","1","2","0","21","64","73","0","21","0","21","304","72","8","13","296","73","2119","*****","1593","223","75","108","102","104","0","21","0","21","276","199","73","43","6","9","67","44"
"0500000US48241","Jasper County, Texas","35444","*****","33150","*****","26482","108","5929","109","53","49","180","88","0","28","74","108","432","159","0","28","432","159","2294","*****","1178","312","8","14","0","28","13","22","33","51","1009","298","53","59","53","59","0","28"
"0500000US48245","Jefferson County, Texas","254574","*****","204849","*****","106135","56","85901","328","588","196","9264","353","105","26","159","110","2697","506","590","335","2107","362","49725","*****","42877","1104","554","455","353","179","7","12","0","31","4710","910","1224","420","683","270","541","334"
"0500000US48271","Kinney County, Texas","3631","*****","1386","248","1382","247","4","6","0","13","0","13","0","13","0","13","0","13","0","13","0","13","2245","248","2131","282","0","13","6","8","0","13","0","13","108","123","0","13","0","13","0","13"
"0500000US48359","Oldham County, Texas","2083","*****","1761","82","1579","130","117","116","1","5","2","6","0","13","0","13","62","44","0","13","62","44","322","81","300","77","17","28","0","13","0","13","0","13","2","3","3","4","3","4","0","13"
"0500000US48117","Deaf Smith County, Texas","18947","*****","5373","*****","4914","28","148","77","51","60","94","16","22","36","22","28","122","91","0","21","122","91","13574","*****","11630","544","73","94","64","55","0","21","0","21","1120","369","687","308","96","59","591","307"
"0500000US48167","Galveston County, Texas","321184","*****","244378","*****","186380","97","40304","651","832","198","10650","398","114","91","153","102","5945","826","422","322","5523","757","76806","*****","64533","1861","967","368","627","385","247","201","13","15","7311","1756","3108","802","923","277","2185","748"
"0500000US48141","El Paso County, Texas","834825","*****","148652","*****","103880","185","25333","561","2344","200","8801","476","690","431","419","191","7185","758","145","89","7040","768","686173","*****","573246","4765","3378","738","3390","749","783","288","289","203","93170","4522","11917","1403","5639","920","6278","985"
"0500000US48283","La Salle County, Texas","7418","214","1490","275","1308","293","92","58","0","19","10","18","0","19","0","19","80","96","0","19","80","96","5928","332","4301","781","8","15","0","19","0","19","0","19","1444","803","175","164","103","153","72","70"
"0500000US48393","Roberts County, Texas","889","117","823","111","805","108","0","13","0","13","4","6","0","13","0","13","14","15","0","13","14","15","66","61","62","60","0","13","0","13","0","13","0","13","4","6","0","13","0","13","0","13"
"0500000US48443","Terrell County, Texas","721","144","315","87","239","76","23","23","5","9","0","13","0","13","0","13","48","44","0","13","48","44","406","137","221","132","0","13","0","13","0","13","0","13","185","77","0","13","0","13","0","13"
"0500000US48457","Tyler County, Texas","21456","*****","19892","*****","17081","14","2313","95","21","22","73","53","0","25","62","51","342","102","9","8","333","101","1564","*****","973","212","45","46","0","25","0","25","0","25","526","217","20","26","14","24","6","9"
"0500000US48463","Uvalde County, Texas","27015","*****","7857","*****","7325","18","40","50","108","99","275","171","2","4","0","25","107","98","14","18","93","97","19158","*****","16707","757","22","34","177","227","7","13","19","31","1667","605","559","552","537","548","22","38"
"0500000US48483","Wheeler County, Texas","5599","*****","4114","*****","3825","19","150","48","6","8","7","8","13","20","0","19","113","37","0","19","113","37","1485","*****","1094","148","12","21","4","7","0","19","0","19","315","160","60","40","17","19","43","49"
"0500000US48037","Bowie County, Texas","93635","*****","86703","*****","60361","8","22371","475","792","89","892","142","16","24","30","34","2241","534","11","20","2230","534","6932","*****","4524","625","441","306","39","41","15","26","38","43","1550","473","325","241","252","195","73","93"
"0500000US48009","Archer County, Texas","8793","*****","8062","*****","7787","19","74","48","23","29","34","45","0","19","0","19","144","63","0","19","144","63","731","*****","526","96","32","37","14","21","0","19","0","19","93","66","66","50","11","16","55","48"
"0500000US48043","Brewster County, Texas","9220","*****","5141","*****","4768","21","13","11","153","63","99","9","0","19","12","21","96","62","0","19","96","62","4079","*****","3727","153","0","19","21","25","46","60","0","19","186","91","99","75","68","63","31","33"
"0500000US48263","Kent County, Texas","680","122","533","109","524","109","5","4","4","6","0","13","0","13","0","13","0","13","0","13","0","13","147","69","98","61","1","2","4","5","0","13","0","13","42","27","2","4","0","13","2","4"
"0500000US48215","Hidalgo County, Texas","839539","*****","68745","*****","55339","88","3522","167","593","129","7953","307","115","88","202","120","1021","365","184","240","837","276","770794","*****","690872","4508","1275","357","1090","363","342","224","72","82","68212","4088","8931","1428","7021","1401","1910","462"
"0500000US48423","Smith County, Texas","222277","*****","180149","*****","134122","81","38746","585","730","170","3497","267","231","277","246","129","2577","604","191","204","2386","578","42128","*****","36795","924","392","160","48","37","19","21","0","31","3951","866","923","291","606","237","317","147"
"0500000US48425","Somervell County, Texas","8650","*****","7002","*****","6804","146","51","46","30","51","0","19","49","66","6","10","62","68","0","19","62","68","1648","*****","1220","239","0","19","48","77","0","19","0","19","325","237","55","56","40","55","15","20"
"0500000US48105","Crockett County, Texas","3836","144","1299","207","1264","203","35","36","0","13","0","13","0","13","0","13","0","13","0","13","0","13","2537","236","282","201","0","13","0","13","0","13","0","13","2255","290","0","13","0","13","0","13"
